ID,Age,Gender,FamilyMembers,FinancialEducation,RiskPropensity,Income,Wealth,IncomeInvestment,AccumulationInvestment,FinancialStatus
1,60,0,2,0.228684693,0.233354644,68.18152509,53.26006652,0,1,0
2,78,0,2,0.358916178,0.170911408,21.80759508,135.5500481,1,0,0
3,33,1,2,0.31751525,0.249703045,23.25274749,66.30367828,0,1,0
4,69,1,4,0.767685109,0.654597326,166.1890341,404.9976892,1,1,0
5,58,0,3,0.429719368,0.349039088,21.18672263,58.91192965,0,0,0
6,42,1,3,0.479767493,0.514415343,89.90436131,78.62297648,0,1,0
7,50,0,2,0.485524094,0.378283645,63.92914508,53.40075358,0,1,0
8,59,1,2,0.374317343,0.21610547,131.4301799,100.6632793,0,1,0
9,81,0,3,0.195099322,0.177500775,95.15639277,131.8779501,1,1,0
10,71,0,2,0.577347736,0.454188682,104.6945039,199.4728292,1,0,0
11,45,0,3,0.472696983,0.588070261,106.7779523,84.55148893,0,1,0
12,81,1,2,0.252537829,0.316481757,55.50942977,87.98506447,0,0,0
13,67,1,2,0.32454894,0.341892125,109.930163,80.26904491,0,1,0
14,54,1,2,0.699583936,0.68045611,74.49706507,367.1691713,1,1,0
15,61,1,3,0.417289499,0.337188394,81.01210775,159.487454,1,1,0
16,53,1,2,0.427029983,0.220700173,45.23748483,48.01595074,0,1,0
17,54,0,2,0.36512993,0.451183766,41.4968323,40.40027746,1,1,0
18,80,1,1,0.119173334,0.098888726,6.802567108,4.054744287,0,0,0
19,73,1,3,0.267998983,0.430692092,64.08537893,100.5383577,1,1,0
20,67,1,2,0.281647186,0.31234566,47.94422727,67.18130703,0,1,0
21,66,1,2,0.410961507,0.459016898,60.83052771,74.4618664,1,1,0
22,40,0,3,0.474074611,0.385903937,48.82697008,57.81153257,0,1,0
23,63,1,3,0.376964495,0.407526999,50.99646065,142.1692485,1,0,0
24,81,0,2,0.59502436,0.340589465,156.0632646,462.4582775,1,1,0
25,60,0,4,0.377794922,0.394859755,115.7383359,203.4366589,1,0,0
26,65,1,3,0.429679238,0.354593633,103.1901313,154.6030072,0,0,0
27,63,1,3,0.288996295,0.305997192,59.76875144,46.12414858,1,1,0
28,53,1,3,0.321141195,0.470362298,43.5195054,64.90711667,0,1,0
29,58,0,2,0.37746045,0.30726696,118.8051984,127.9488807,1,1,0
30,47,0,2,0.557149776,0.425538868,50.26387426,30.41534038,1,1,0
31,65,0,1,0.439403375,0.477405448,41.2028671,88.41523879,0,1,0
32,47,0,2,0.465272488,0.350143769,33.68946913,54.60500662,0,0,0
33,37,1,2,0.234331129,0.236165163,15.55237399,2.504869314,0,0,0
34,48,1,2,0.342046995,0.229723869,40.15848122,34.29558687,0,1,0
35,29,0,3,0.564868528,0.560867821,32.4991793,26.31520352,0,1,0
36,75,1,3,0.476374406,0.440858826,75.63259947,240.026803,1,0,0
37,58,1,2,0.249237232,0.260389303,16.26761099,56.36488992,0,0,0
38,46,1,2,0.217890096,0.218259045,17.29777335,20.54516507,0,0,0
39,67,1,3,0.513149278,0.475099806,48.4240573,114.5415035,1,1,0
40,39,1,2,0.430238309,0.344654486,37.85147311,31.19670729,0,1,0
41,53,0,1,0.409277272,0.112440219,110.9050225,146.9403763,1,0,0
42,53,0,2,0.473644577,0.34976496,40.87987053,26.77837505,1,1,0
43,60,1,3,0.364681496,0.442686018,22.20026417,32.06132849,0,0,0
44,59,0,2,0.448282832,0.533605796,28.5205266,111.0475394,1,1,0
45,45,1,2,0.498959052,0.521779663,70.27306386,79.72534206,0,0,0
